,Characteristic,Total,Reduced_Almost_Every_Month,Reduced_Sometimes,Reduced_One_Or_Two_Months,Reduced_Never,Reduced_Did_Not_Report,Unhealthy_Almost_Every_Month,Unhealthy_Sometimes,Unhealthy_One_Or_Two_Months,Unhealthy_Never,Unhealthy_Did_Not_Report,Unable_Almost_Every_Month,Unable_Sometimes,Unable_One_Or_Two_Months,Unable_Never,Unable_Did_Not_Report,Pct_Reduced,Pct_Unhealthy,Pct_Unable,Reduced_Likelihood_Ratio,Unhealthy_Likelihood_Ratio,Unable_Likelihood_Ratio
6,Total,8113018,397415,649653,483822,4221590,2360537,231109,380828,299792,4893326,2307964,172793,569023,254811,4809402,2306989,26.612691115363962,15.705779825648477,17.165381020315262,1.0,1.0,1.0
7,Age ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
8,    18 - 24,9131351,460344,756996,440147,3704427,3769440,102887,383363,445554,4446800,3752747,104843,388983,425087,4459691,3752747,30.912243787709272,17.324272246106982,17.084600390733357,1.1615602365693527,1.103050751915891,0.9952939798140046
9,    25 - 39,34475883,2665664,3787800,2504853,15634050,9883519,1149614,2051006,1666642,19702502,9906123,1548456,2779217,2215385,18066389,9866436,36.42723001334886,19.80996965375323,26.587586466286705,1.368791673695818,1.2613171630868254,1.5489074454461713
10,    40 - 54,33772671,2407564,3732543,2942734,16990822,7699007,1224412,1954199,1194213,21786688,7613160,1476175,3022852,2335402,19348016,7590227,34.83530738142518,16.716000539918348,26.103097938450663,1.308973498035836,1.0643215889617985,1.5206826989484006
11,    55 - 64,23772097,1335179,2785916,1355245,13353144,4942616,1164406,1552009,809872,15308972,4936835,530265,1511783,1262806,15543381,4923859,29.08386056949738,18.72173054985909,17.534020951985006,1.0928568044254183,1.1920280786876551,1.0214757791413693
12,    65 and above,28732155,694843,1255681,1235119,20798102,4748407,958424,1220925,723101,21286450,4543259,476885,834042,652157,22188131,4580937,13.282506970970509,11.99910074440768,8.12830226616314,0.4991042399053845,0.7639926751559596,0.47352879942153786
13,Sex at birth ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
14,    Male,61882064,3250961,5278133,3421627,34686250,15245087,1941750,3339910,1928809,39538483,15133116,1498191,3344648,2613243,39301784,15124199,25.624990659235912,15.42381017857343,15.946155796463332,0.9628861112975593,0.982046759205514,0.928971851984586
15,    Female,68002094,4312630,7040800,5056471,35794292,15797902,2657996,3821595,2910568,42992925,15619010,2638435,5192230,4277592,40303827,15590013,31.434067593652248,17.925937693931882,23.102034433626095,1.1811683176792602,1.1413592889324575,1.3458503721114488
16,Gender ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
17,    Cisgender male,59533779,3027672,5028249,3229910,33888416,14359531,1834728,3167260,1893238,38396570,14241991,1416716,3237320,2317698,38328977,14233072,24.98288626741501,15.224009261899752,15.389901089181675,0.9387583600289098,0.9693252694806045,0.8965662382307562
18,    Cisgender female,65582049,4087762,6914700,4852891,34808648,14918047,2514000,3765213,2749274,41847284,14706277,2470316,5066995,4173620,39159241,14711876,31.295105743916558,17.74614250570979,23.021213236290745,1.1759466792837556,1.129911580495308,1.341141988578354
19,    Transgender,1122702,253809,68440,101228,436480,262743,100298,97400,85561,595497,243945,150645,29927,213609,462577,265943,49.243859300268966,32.23405332759796,46.00838742283419,1.8503900671600868,2.0523688530866724,2.6803009713785655
20,    None of these,1672341,120430,136419,172279,735418,507798,71003,47601,88352,899249,566139,95482,107924,94871,866266,507798,36.849476575789815,18.70869877291851,25.61322338462384,1.3846580346215338,1.19119833466442,1.4921441798647255
21,    Did not report,1973286,73918,171125,121787,611583,994872,79716,84032,22951,792813,993774,3468,94711,91039,788547,995522,37.49230898167851,19.06040967338838,19.352113597964333,1.4088131417883387,1.2135920587821811,1.127392020897239
22,Sexual orientation ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
23,    Gay or lesbian,3452873,222269,420698,246757,1768672,794478,66102,221866,281735,2085773,797394,180519,215527,169427,2092921,794478,33.46846499485592,21.453869527870488,21.271218159829523,1.257612950519461,1.3659856286050207,1.2391928926398426
24,    Straight,114851903,6335997,10352384,7551561,64346565,26265395,4062927,6299211,4038335,74438900,26012532,3422353,7543963,5941884,71994849,25948848,27.363017853689414,16.209562087061602,19.018694014508274,1.028194320336596,1.032076233527126,1.1079680661908764
25,    Bisexual,4822968,520743,832853,440964,2237302,791109,213241,220260,320357,3278004,791109,306543,423683,473933,2827700,791109,44.50949301550476,18.697528857035923,29.866098988084655,1.6724912494779105,1.1904871368756704,1.7399030614431492
26,    Something else,2048504,174607,220646,113818,725204,814229,62134,151999,97897,944241,792231,76917,114980,158664,883713,814229,41.24453626622916,24.837754214251202,28.402179417066698,1.549807048352881,1.5814403671755073,1.6546198061932131
27,    I don’t know,1947065,109430,301706,100150,652014,783767,60840,148194,95683,856190,786160,74612,128968,109179,851131,783173,43.951420874101046,26.248228752568036,26.87182315884979,1.6515210988462246,1.6712464483745728,1.5654661627986546
28,    Did not report,2760844,200547,190651,24847,750791,1594011,134500,119974,5367,928309,1572697,75679,109751,37748,955297,1582368,35.6559164850497,21.869431981059584,18.93784854337297,1.339808752541562,1.3924448339295763,1.1032582685441115
29,"Lesbian, Gay, Bisexual and Transgender ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
30,    Yes,8854941,835518,1292752,701234,4188209,1837229,352500,460559,649089,5571444,1821346,557680,647311,701604,5107919,1840429,40.319465945595944,20.788060728546355,27.180721909093602,1.515046553195773,1.3235930313118365,1.5834616124701901
31,    No,112902036,6200144,10216548,7323444,63372931,25788968,3950608,6188696,3980030,73308135,25474567,3317784,7400027,5777875,70937124,25469221,27.252094944010008,16.14976867281838,18.86669896194009,1.024026274752684,1.0282691373557167,1.0991133223090892
