,Characteristic,Total,Reduced_Almost_Every_Month,Reduced_Sometimes,Reduced_One_Or_Two_Months,Reduced_Never,Reduced_Did_Not_Report,Unhealthy_Almost_Every_Month,Unhealthy_Sometimes,Unhealthy_One_Or_Two_Months,Unhealthy_Never,Unhealthy_Did_Not_Report,Unable_Almost_Every_Month,Unable_Sometimes,Unable_One_Or_Two_Months,Unable_Never,Unable_Did_Not_Report,Pct_Reduced,Pct_Unhealthy,Pct_Unable,Reduced_Likelihood_Ratio,Unhealthy_Likelihood_Ratio,Unable_Likelihood_Ratio
6,Total,10037140,867292,1016116,842529,4652015,2659188,662583,744786,342105,5676958,2610709,657816,802051,462901,5494464,2619907,36.947068780062544,23.5573992406312,25.922982330472834,1.0,1.0,1.0
7,Age ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
8,    18 - 24,16516377,814005,1125318,1746408,5820719,7009925,547245,1151396,739041,7068771,7009925,543949,1104521,406192,7451791,7009925,38.7708369010857,25.642395291113868,21.613342180657934,1.0493616457608486,1.088507055858973,0.8337521472308047
9,    25 - 39,51274819,3944982,6231985,3566530,23355526,14175796,2491085,3832670,2489410,28412809,14048846,2500832,4101890,2915847,27525701,14230548,37.0454418705312,23.674774061647764,25.69511760671441,1.0026625411356513,1.004982503366251,0.9912099340711054
10,    40 - 54,42763532,3999501,5263741,2834929,20444555,10220809,2358418,4554806,1762367,23832596,10255349,3157162,4110911,2645568,22639695,10210191,37.176271328001654,26.68740667542077,30.45352856408809,1.0062035380750636,1.1328672746434172,1.1747694835362186
11,    55 - 64,26409251,1965297,3390182,2007636,13526483,5519655,1320794,2661651,1368051,15541927,5516830,1095372,2156395,1651811,15927818,5577854,35.24776161300582,25.609746232856402,23.539362242484266,0.9540069828767118,1.0871211194097083,0.9080499281447802
12,    65 and above,30313103,1606212,2140437,1170394,18764779,6631277,1484628,1936738,967160,19270824,6653750,1390604,1054826,825920,20428423,6613335,20.76293863488398,18.548799707244743,13.803299677870266,0.5619644350809264,0.7873874156384907,0.5324734439078906
13,Sex at birth ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
14,    Male,83349293,5871595,8749098,6179320,41009584,21539700,4323059,6960932,3532457,46992875,21539973,3727930,6281333,3662152,48033311,21644570,33.651755318951864,23.97121987428433,22.156188919282567,0.9108098810022812,1.017566482166647,0.8546928990202509
15,    Female,83927783,6458406,9402564,5146584,40902473,22017758,3879112,7176327,3793566,47134052,21944722,4959990,6247212,4783185,45940114,21997283,33.93239463237174,23.956553226695274,25.8198900380265,0.9184055935360808,1.0169438901971668,0.9960231314772318
16,Gender ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
17,    Cisgender male,79293217,5496992,8522810,5963300,39848204,19461911,4070463,6603442,3340882,45818072,19460363,3388417,6036787,3580323,46716172,19571518,33.39907372237537,23.423229986655826,21.776887157882097,0.9039708649471605,0.9943045812228728,0.8400610269399079
18,    Cisgender female,79823061,6082889,9062090,4961216,39258935,20457926,3638844,6894750,3566262,45312843,20410361,4774237,5959756,4498604,44153814,20436655,33.86869245728153,23.73205728741498,25.649972823746904,0.9166814466093134,1.0074141480984258,0.9894684375722849
19,    Transgender,1440779,180596,150272,69076,830543,210294,114328,238799,156751,720605,210294,251525,68886,62328,847746,210294,32.50295615143622,41.437156893420074,31.104726997891074,0.8797167738777572,1.7589869098092257,1.1998899895606157
20,    None of these,3235557,338910,212728,193589,1248194,1242136,206452,220642,224006,1382226,1202230,220022,249810,125832,1397759,1242136,37.38432573952015,32.02141121423165,29.88149517838931,1.0118346860493994,1.3592931412819942,1.1527028332408802
21,    Did not report,3484459,230611,203757,138716,726185,2185191,172085,179621,38123,893182,2201449,53720,213304,178253,857938,2181249,44.10822093671206,30.383940889003203,34.16770896478695,1.1938219294006303,1.289783332134464,1.3180469951029639
22,Sexual orientation ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
23,    Gay or lesbian,7018314,508398,686543,416114,3403811,2003447,381387,487640,229538,3933519,1986230,283870,259652,341686,4129662,2003447,32.12557780694882,21.831213469409494,17.651674511008967,0.8695027472459328,0.9267242638463917,0.6809276141911794
24,    Straight,139225795,9809360,15028990,9828443,70893929,33665069,6703119,11443750,6110515,81311753,33656659,7214655,10474428,7288613,80477385,33770713,32.840616310274335,22.97772333762398,23.685625696066502,0.888855798162691,0.9753930433030397,0.9136921591087038
25,    Bisexual,7070246,665590,1135796,436675,3263738,1568449,327791,851972,412924,3950369,1527189,321461,754301,314495,4147323,1532665,40.67872733217892,28.733007796961136,25.105853982090736,1.1010001246466963,1.2197020351636771,0.9684786133800063
26,    Something else,4050244,351054,332583,175508,1712273,1478826,216049,485837,293858,1580691,1473803,172612,329120,118044,1955430,1475034,33.41133180214185,38.64804200833631,24.067008127492514,0.90430263902752,1.6405903560728028,0.9284042947173329
27,    I don’t know,5191055,615963,578020,108270,1721150,2167651,392135,531263,183592,1908129,2175935,471761,421358,213781,1920487,2163667,43.072411096896076,36.71462495688397,36.562872020368715,1.1657869627844173,1.5585177540973847,1.4104423462646325
28,    Did not report,4721428,379631,389729,360890,917158,2674016,181686,336794,95602,1442462,2664878,223562,289678,168717,1343138,2696326,55.20383782062428,29.859813765772774,33.675192656962466,1.4941330839867193,1.2675343937912862,1.2990477803696527
29,"Lesbian, Gay, Bisexual and Transgender ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
30,    Yes,15059443,1323077,1919113,896623,7211428,3709203,819296,1550688,690171,8348560,3650726,854401,1034195,715402,8782028,3673419,36.464541718941625,26.822954763449737,22.87012569093478,0.9869400448519126,1.1386212242472926,0.8822335871459752
31,    No,136758764,9533806,14695627,9734126,69670328,33124881,6498694,11206522,5856661,80097822,33099066,7127946,10118940,7107625,79173730,33230522,32.77263962019063,22.730026668609433,23.52450937976905,0.8870159582964122,0.964878441649249,0.9074769669582212
32,    Other,9448021,889268,1004872,298298,3586308,3669273,579523,872775,650714,3672469,3672535,429074,923804,344027,4089613,3661498,37.93967136133986,36.4127278639408,29.32512322166524,1.0268655299067446,1.5457023711317446,1.1312403352292202
33,    Did not report,6010853,583846,532054,396853,1443998,3054102,304655,507269,128481,2008078,3062368,276498,451603,278284,1928051,3076413,51.162678223495995,31.894515318884103,34.29564073554069,1.3847560824934644,1.3539064729978028,1.3229820665821184
34,Hispanic origin and Race ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
35,    Hispanic or Latino (may be of any race),74161942,6677204,10533202,6419268,27837041,22695228,4123734,7857609,3249408,36338477,22592714,4672470,7704270,5315301,33709735,22760167,45.91253679028352,29.534572439207352,34.419124631396485,1.242657085020475,1.2537280596012008,1.327745557691343
36,"    White alone, not Hispanic",50413834,2461016,3848844,2638670,31992268,9473034,2263390,3171408,2153623,33312778,9512632,2106176,1930852,1632066,35272988,9471753,21.857242652806004,18.553051325973254,13.846619081233316,0.591582590297411,0.7875678947603616,0.5341445249127998
37,"    Black alone, not Hispanic",10409480,866834,1304215,820972,4688531,2728930,499078,854871,305671,6022495,2727366,1124731,1200532,641121,4667260,2775836,38.95581696623289,21.603688776292568,38.85934423978902,1.054368269324096,0.9170659526383999,1.4990306186379376
38,"    Asian alone, not Hispanic",26741822,1802682,2037483,1179139,14494969,7227552,1097931,1762805,1250104,15425114,7205867,381920,1342607,652628,17161223,7203445,25.72119787212127,21.042431762358174,12.166593980656632,0.6961634230101901,0.8932408687146044,0.46933619849575053
39,"    Two or more races + Other races, not Hispanic",5549998,522265,427917,267853,2899248,1432716,218037,490565,367214,3028064,1446115,402629,350283,204221,3162222,1430647,29.583472786173015,26.214587501641738,23.23504357846661,0.8006987770065513,1.1127963334945519,0.8963105896636547
40,Education ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
41,    Less than high school,29427164,3511438,4113624,1858282,9534592,10409229,1352299,3715117,974912,12981759,10403068,2595728,3136811,1782827,11411738,10500065,49.86526665487078,31.761446115494792,39.706909125376264,1.349640669783774,1.3482577508264777,1.5317261192860603
42,    High school or GED,35679515,3231842,4370123,2644701,13632830,11800022,2292697,2944826,1251868,17422167,11767952,2369999,3299300,2093529,16020334,11896353,42.90989762638595,27.13913348115303,32.640016495703975,1.161388414377843,1.152042855152879,1.2591150230942052
43,    Some college/associate’s degree,48376597,3660776,5743362,3978508,22992428,12001518,2599104,4398222,2645247,26811502,11922520,2575269,4159649,2761094,26953720,11926864,36.790699478618315,26.45128828800137,26.052349958228778,0.9957677481162291,1.1228441653431276,1.004990460823787
44,    Bachelor’s degree or higher,53793804,1925941,3924554,2844412,35752211,9346688,1958066,3079090,2453997,36911497,9391155,1146930,1932784,1807891,39587633,9318568,19.56236485624849,16.870959658285255,10.98949761615655,0.5294700094532201,0.7161639315933762,0.42392875464943086
45,Marital status ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
