,Characteristic,Total,Reduced_Almost_Every_Month,Reduced_Sometimes,Reduced_One_Or_Two_Months,Reduced_Never,Reduced_Did_Not_Report,Unhealthy_Almost_Every_Month,Unhealthy_Sometimes,Unhealthy_One_Or_Two_Months,Unhealthy_Never,Unhealthy_Did_Not_Report,Unable_Almost_Every_Month,Unable_Sometimes,Unable_One_Or_Two_Months,Unable_Never,Unable_Did_Not_Report,Pct_Reduced,Pct_Unhealthy,Pct_Unable,Reduced_Likelihood_Ratio,Unhealthy_Likelihood_Ratio,Unable_Likelihood_Ratio
6,Total,3803657,298538,493780,242076,1769437,999827,149249,367545,198446,2079640,1008776,238805,356083,191630,2016242,1000896,36.89217962572624,25.59107167711255,28.062257181400767,1.0,1.0,1.0
7,Age ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
8,    18 - 24,6300433,344119,789798,372217,2014620,2779678,245444,429652,384416,2509619,2731303,298994,438814,264444,2566874,2731303,42.7787221774875,29.685441550181697,28.08112901463382,1.1595607148040763,1.1599921224374108,1.0006724987626998
9,    25 - 39,17226154,1372595,1973988,1563943,7086225,5229406,1064266,1310918,978399,8663083,5209490,1009027,1490920,1127275,8310764,5288168,40.93214261064749,27.90777040949135,30.383868769824325,1.109507300081127,1.0905276168817404,1.0827307501822159
10,    40 - 54,16310534,1693042,2426137,1277270,6591428,4322652,940419,1591800,1009300,8427781,4341230,1046070,1815650,1206857,7918583,4323379,45.015866856213634,29.58834532066359,33.94113949473416,1.220200793580178,1.1561979777160334,1.2094942782161453
11,    55 - 64,10921630,933309,1357417,770366,5293607,2566928,536310,1378325,670696,5764038,2572258,540384,1092512,790217,5928262,2570254,36.63915241979905,30.964376721985797,29.014536047712376,0.9931414405845854,1.2099679572887476,1.0339345071266315
12,    65 and above,13553062,825220,955086,717471,8117136,2938145,578861,1206548,532017,8328370,2907260,403612,462786,499205,9277768,2909695,23.530819883000497,21.768449197157715,12.83055446645784,0.6378267730918129,0.850626713559104,0.45721747839164323
13,Sex at birth ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
14,    Male,30947907,2040636,3491697,2498533,14313198,8603842,1640655,2630773,1791933,16366150,8518393,1078314,2235761,1729750,17275513,8628568,35.94183063824779,27.032957557618055,22.598451504320984,0.9742398254285918,1.0563433176499233,0.8052969993910144
15,    Female,33363900,3127648,4010726,2202733,14789821,9232969,1724644,3286466,1782899,17326742,9243147,2219775,3064911,2158244,16726735,9194231,38.71009784081683,28.166653835392285,30.79450529504562,1.0492765196725564,1.1006437788450734,1.0973638042008875
16,Gender ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
17,    Cisgender male,29593895,1928803,3303925,2416721,14099872,7844578,1516751,2553997,1699559,16062207,7761382,968655,2166282,1587755,16997197,7874010,35.17098490954911,26.429880060073707,21.743632620522625,0.9533452690071779,1.0327773839854995,0.7748354838303588
18,    Cisgender female,31591676,2996557,3849491,2124566,14326451,8294609,1679536,3154796,1732826,16720261,8304253,2141170,2969605,2094647,16139736,8246512,38.50533631551131,28.200449659028394,30.86473069968581,1.043726250553658,1.1019643887852322,1.0998662901622354
19,    Transgender,987631,65543,68642,55469,179684,618292,55206,47101,26584,239943,618796,85050,10546,25280,247960,618796,51.34957315636854,34.945436306207384,32.772377892553585,1.3918823359669603,1.3655323523422795,1.167845397492637
20,    None of these,1019806,142833,145695,53723,323920,353636,106840,55481,39858,463540,354086,81790,81860,99907,392427,363821,51.37592506417281,30.369975365018327,40.17729063926767,1.3925966311935263,1.1867410536065905,1.43171984988779
21,    Did not report,1118798,34547,134672,50790,173093,725695,6965,105865,76004,206941,723025,21420,72384,80405,224929,719658,55.96726557670636,47.71270399951487,43.64608909154683,1.517049579192615,1.8644277426719442,1.555330663866725
22,Sexual orientation ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
23,    Gay or lesbian,2274613,186846,241280,119277,1074574,652636,97005,241308,102906,1184549,648847,98083,165890,83754,1288537,638353,33.74912221320031,27.139145485881734,21.251329250852553,0.9148042364421817,1.0604927307578802,0.7572922275453169
24,    Straight,54389108,4207407,6372649,4199240,25494144,14115671,2817247,4996867,3041216,29491099,14042676,2741202,4494706,3302114,29746643,14104445,36.697379466272025,26.9053035470398,26.15889327409789,0.9947197438202221,1.0513550931555022,0.9321735277743659
25,    Bisexual,2504513,208315,439892,170276,932487,753537,127438,262279,198758,1159789,756245,209567,276201,167103,1098101,753537,46.744387130377575,33.660457092390864,37.28611928433057,1.2670540912627737,1.3153203397298596,1.3286928076848799
26,    Something else,1182029,147919,106472,105253,433440,388938,140333,128713,88374,434716,389892,118593,94054,106043,473297,390040,45.34712914407048,45.12098286028806,40.23919524134805,1.229179994354367,1.763153314936871,1.4339258236154278
27,    I don’t know,2157564,225917,230566,61389,738227,901466,146290,191115,110085,808610,901466,62885,194154,131153,855183,914191,41.228630250187486,35.62540502413029,31.2208806206987,1.1175438986922117,1.3921028971987905,1.1125577111947866
28,    Did not report,1803980,191880,111562,45830,430146,1024560,36984,96959,33491,614129,1022410,67757,75673,97829,540487,1022230,44.811783120782124,21.42277723044641,30.86140070354973,1.2146688966442432,0.8371191914407373,1.099747625576042
29,"Lesbian, Gay, Bisexual and Transgender ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
30,    Yes,5580804,445167,724843,336212,2142432,1932154,274790,529775,328249,2516416,1931579,357019,447437,251769,2606208,1918377,41.28162471050937,31.042591235125265,28.8394826709174,1.1189803673655054,1.213024277638529,1.0276964709036935
31,    No,53391961,4178555,6237707,4086138,25140240,13749315,2772651,4908876,3008332,29021980,13680117,2690118,4423475,3226440,29308535,13743394,36.58282547537316,26.918566158751027,26.079209874092047,0.9916146415448612,1.051873344672225,0.9293340056542903
32,    Other,3153449,345049,348958,182298,1300228,976917,274533,328983,173379,1399190,977367,169101,323500,266609,1404599,989643,40.26152613423557,35.70154984968397,35.08678689309485,1.0913295593454109,1.3950783421709438,1.2503194830795663
33,    Did not report,2185591,199516,190917,96618,520120,1178421,43328,149606,64870,755307,1172475,81851,106265,143183,682903,1171386,48.358370483632356,25.44664184555372,32.6658811581485,1.3108027493694172,0.9943562413727285,1.1640503808011191
34,Hispanic origin and Race ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
35,    Hispanic or Latino (may be of any race),29876174,2551497,4086089,2175529,11313311,9749747,1562770,2668125,1891304,14015158,9738821,1549988,3215916,1993149,13413514,9703603,43.788770853366074,30.402203308448733,33.50615546228589,1.1869391100663131,1.1880003968586839,1.1939935995060744
36,"    White alone, not Hispanic",21438542,1462223,1855651,1645562,11920148,4554962,1086570,1804434,1053418,12971887,4522236,899838,1161773,1021381,13838683,4516865,29.398006820828282,23.31727742451573,18.219187140848984,0.7968628343208,0.9111489240745477,0.6492416851244732
37,"    Black alone, not Hispanic",4838828,523399,521334,337104,1937534,1519458,282971,512034,253003,2277809,1513011,468251,428754,400952,1936273,1604599,41.62949595857045,31.511294818686657,40.131883054663106,1.1284097708756873,1.2313393990009758,1.4301017482393363
38,"    Asian alone, not Hispanic",5360746,367631,567367,353023,2795823,1276897,260458,596364,251536,2973868,1278514,91194,237686,236629,3515902,1279334,31.539388454372336,27.15078417885118,13.855719540198344,0.8549071584910853,1.0609475258175125,0.49374928932593853
39,"    Two or more races + Other races, not Hispanic",2797516,263537,471984,190046,1136203,735746,172532,336285,125572,1454170,708962,288814,256544,235891,1297875,718392,44.89186475698065,30.37455579314684,37.575873300486165,1.2168395907320135,1.1869200390037755,1.3390182071808137
40,Education ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
41,    Less than high school,12559062,1393323,1760406,701023,3951784,4752525,680500,1360570,682976,5089925,4745086,678114,1547228,712521,4797344,4823853,49.378514442447404,34.861202542726005,37.980395875534846,1.338454787529387,1.3622408229939127,1.3534333902658289
42,    High school or GED,17328157,1430096,1818002,1458283,7175622,5446159,782528,1442691,747682,8964111,5391149,1010159,1473947,927358,8552030,5364665,39.609340112664555,24.904909169869033,28.515620690012582,1.0736513948078996,0.9731874258373795,1.0161556323028889
43,    Some college/associate’s degree,21122990,1713184,2830631,1724763,9595358,5259049,1261117,2070283,1401283,11158554,5231753,1207490,1656282,1604489,11397146,5257580,39.514632587198854,29.781715545492148,28.16353942318541,1.071084251136083,1.1637541374294034,1.0036091979747006
44,    Bachelor’s degree or higher,13301598,631685,1093386,817194,8380251,2379081,641156,1043696,742889,8480305,2393555,402324,623221,643628,9255724,2376704,23.275450154941392,22.25643041561167,15.278619636950253,0.6309047172347222,0.8696951302557906,0.544454408573972
45,Marital status ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
46,    Married,32943580,2423304,3604896,2141147,16667581,8106657,1392365,2812225,1700647,18929311,8109032,1424519,2560302,1887676,18994061,8077026,32.891944787202505,23.778314789542375,23.616046678602913,0.8915695716787025,0.9291644792980116,0.8415590565628223
47,    Widowed,3295184,322465,276500,146244,1598804,951173,228416,304364,165198,1654794,942410,164444,247660,120765,1810608,951702,31.792043638020466,29.666172781576133,22.738344053848078,0.8617556338647644,1.1592391735633394,0.810282077698251
48,    Divorced/separated,8600850,1157901,1154356,670507,3812717,1805368,652786,1254681,578742,4303693,1810950,697787,809736,700676,4583993,1808660,43.89333972189169,36.61628300858628,32.51085437833747,1.1897735554578968,1.4308225724417067,1.1585259934074428
49,    Never married,18626719,1251452,2451544,1707804,6925304,6290616,1082290,1518426,1120971,8690319,6214712,1000294,1676901,1146980,8501653,6300888,43.86150148065398,29.984570585562835,31.025697172060852,1.1889105475911697,1.1716809270000061,1.105602338810586
50,    Did not report,845472,13168,15131,35559,98613,682999,9439,27541,9273,114779,684438,11043,6073,31897,111933,684525,39.30376124032916,28.722505806227254,30.452882004635068,1.0653683690979656,1.1223643217691157,1.085190040408395
51,Household size ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
52,    1 person in the household,3357849,311154,308653,205306,1888689,644045,207138,373837,231874,1895919,649078,159197,162985,142315,2225095,668253,30.40429596242028,30.00803685509037,17.270140199494648,0.8241393235876547,1.172597897958613,0.6154223478124572
53,    2 people in the household,13160291,789227,1184140,749411,7831044,2606472,650399,995924,735716,8180196,2598057,428339,689694,593515,8880991,2567750,25.79898328747158,22.552416467955545,16.158049329240264,0.6993076459348316,0.8812611192100004,0.5757929315803424
54,    3 people in the household,11056344,786723,1390756,624100,5688774,2565989,566579,1121163,515358,6334627,2518623,498307,634782,822931,6522980,2577349,32.99719505250369,25.804310072910557,23.06900758875315,0.8944224870219801,1.0083325309111115,0.8220652900310148
55,    4 people in the household,13847365,957639,1560118,987499,5936368,4405738,703692,1155823,744505,6856539,4386811,727791,1237816,768734,6733045,4379979,37.125550500988865,27.525026547071135,28.881689201221967,1.006325754607892,1.0755714686106024,1.0292005028150162
