,Characteristic,Total,Reduced_Almost_Every_Month,Reduced_Sometimes,Reduced_One_Or_Two_Months,Reduced_Never,Reduced_Did_Not_Report,Unhealthy_Almost_Every_Month,Unhealthy_Sometimes,Unhealthy_One_Or_Two_Months,Unhealthy_Never,Unhealthy_Did_Not_Report,Unable_Almost_Every_Month,Unable_Sometimes,Unable_One_Or_Two_Months,Unable_Never,Unable_Did_Not_Report,Pct_Reduced,Pct_Unhealthy,Pct_Unable,Reduced_Likelihood_Ratio,Unhealthy_Likelihood_Ratio,Unable_Likelihood_Ratio
6,Total,5776301,460527,625684,428090,2593434,1668566,480878,414210,228559,3155905,1496748,184061,495399,427888,3162601,1506352,36.86462247442934,26.25617675490875,25.933518175509825,1.0,1.0,1.0
7,Age ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
8,    18 - 24,9771512,687763,1123003,701431,3008714,4250597,339797,977394,418248,4104834,3931239,371576,918700,879974,3670021,3931239,45.50327255536447,29.71503215688719,37.160077962108964,1.2343344242010674,1.1317349221962327,1.4328976774620914
9,    25 - 39,27721911,3017305,3030349,2525134,11449550,7699574,1331435,2074908,1660036,14928666,7726870,1030372,2614337,1925153,14391268,7760778,42.816120815467244,25.338177601136202,27.903536337341173,1.1614419989019575,0.9650368306725798,1.0759641691689839
10,    40 - 54,22922540,2540943,3413809,1730433,8816010,6421339,1095173,1881954,1381664,12123735,6440018,1114553,1982536,1928646,11476504,6420302,46.57348880242111,26.444927542035135,30.454869212285026,1.2633654077083307,1.007188814612588,1.1743439130077196
11,    55 - 64,13553705,1093675,1557728,1083018,6950971,2868316,556309,926566,1147974,8064651,2858205,359033,952430,827935,8589231,2825078,34.94885399118367,24.597718666728998,19.941023208281916,0.9480323314154507,0.9368355071775751,0.7689285762667215
12,    65 and above,15204892,1298536,1332704,675895,9068759,2828995,1209671,939740,641824,9627291,2786371,349625,788392,569771,10702325,2794784,26.722386264203717,22.476388291327122,13.76126621943983,0.7248788803612284,0.8560419325759233,0.5306363034243154
13,Sex at birth ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
14,    Male,43880414,4048962,4556276,2958378,20449305,11867488,2111378,3598793,2524331,24072582,11573330,1277741,3264190,2523363,25219122,11596000,36.12170908713562,25.488224192564086,21.884535367437675,0.9798475248781123,0.9707515465974652,0.8438706703552553
15,    Female,45294145,4589262,5901320,3757533,18844702,12201326,2421006,3201769,2725408,24776591,12169370,1947419,3992207,3608113,23610230,12136173,43.05500537745062,25.202233071771808,28.79470131647376,1.1679220479557375,0.959859209778518,1.110327612381797
16,Gender ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
