,Characteristic,Total,Reduced_Almost_Every_Month,Reduced_Sometimes,Reduced_One_Or_Two_Months,Reduced_Never,Reduced_Did_Not_Report,Unhealthy_Almost_Every_Month,Unhealthy_Sometimes,Unhealthy_One_Or_Two_Months,Unhealthy_Never,Unhealthy_Did_Not_Report,Unable_Almost_Every_Month,Unable_Sometimes,Unable_One_Or_Two_Months,Unable_Never,Unable_Did_Not_Report,Pct_Reduced,Pct_Unhealthy,Pct_Unable,Reduced_Likelihood_Ratio,Unhealthy_Likelihood_Ratio,Unable_Likelihood_Ratio
6,Total,3336123,152037,193637,177945,2090325,722180,179474,180785,116354,2132955,726555,163228,101474,106345,2243084,721993,20.031768098998334,18.264057499172274,14.193900073829536,1.0,1.0,1.0
7,Age ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
8,    18 - 24,4033115,218691,182624,146021,1723077,1762704,160312,141266,141126,1832559,1757855,114238,99766,75880,1985378,1757855,24.10735325013841,19.45729279291158,12.740697766409115,1.2034560869014788,1.0653324319523951,0.8976178287953562
9,    25 - 39,16252198,1513253,1234547,966421,9176662,3361319,1106665,1016802,918922,9811453,3398358,771225,722035,574202,10811559,3373178,28.812783053816577,23.66910588586757,16.052945022214423,1.4383544633415224,1.2959390807294737,1.130974921530733
10,    40 - 54,14671811,1079367,1451870,739275,8514018,2887286,698650,1093070,637453,9325256,2917383,638304,922673,647994,9563207,2899636,27.75259927744224,20.666024752544317,18.764340489331836,1.38542934104903,1.1315133427214024,1.3220003235001774
11,    55 - 64,8256311,475463,842197,401547,5005600,1531504,324097,692687,358057,5362039,1519429,267826,298276,329863,5855521,1504824,25.565150048172384,20.407675242048175,13.270632084457839,1.276230331832303,1.117368100870962,0.9349531852014372
12,    65 and above,11137237,407649,562043,440280,8026061,1701204,580811,566485,323942,7965351,1700651,274783,456570,229134,8475359,1701390,14.942423367955582,15.59078675275147,10.179128593331367,0.7459363194556331,0.853632154490208,0.7171481087216801
13,Sex at birth ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
14,    Male,29032056,2254515,2242888,1357532,17675824,5501298,1799735,1900987,1311924,18466200,5553208,1059103,1036320,824884,20583913,5527834,24.882050123502182,21.349624990118766,12.424606098427764,1.2421295015264469,1.1689420596209976,0.8753482857989141
15,    Female,25318619,1439908,2030396,1336010,14769596,5742714,1070804,1609321,1067579,15830458,5740458,1007274,1463001,1032187,16107114,5709042,24.552193116997657,19.142267754361608,17.86097680740385,1.2256628069803464,1.0480840719664366,1.2583558228887075
16,Gender ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
17,    Cisgender male,27758120,2153201,2112023,1264542,17158928,5069425,1740131,1786365,1169162,17936283,5126185,983115,1009655,798096,19866441,5100809,24.37234049820847,20.747929861056953,12.317728259986369,1.2166844373276855,1.1359978395817714,0.8678184428462745
18,    Cisgender female,24420853,1388197,1983436,1292509,14338335,5418382,1038986,1549219,1043245,15373277,5416125,973799,1436424,980220,15646468,5383940,24.544923657560112,19.10813982709987,17.80983608004092,1.2252999104351379,1.0462154878764398,1.2547528154631993
19,    Transgender,603523,33452,13627,54596,354773,147073,12581,49198,82991,316525,142224,12300,24633,6811,417553,142224,22.275167050060247,31.38311593998686,9.482786652474859,1.1119920588125265,1.718299230135973,0.668088869384043
20,    None of these,823567,101662,52018,69978,386114,213794,62896,62083,49723,435066,213794,72317,13054,67365,457033,213794,36.678895261023364,28.65033381274671,25.04800966917197,1.831036335871792,1.5686729968981503,1.764702410111725
21,    Did not report,744616,17911,112178,11919,207269,395337,15946,63444,34382,235506,395337,24843,15553,4580,303533,396105,40.65746867117691,32.57338689128175,12.905188071538632,2.0296495282016536,1.783469357384468,0.9092066313284107
22,Sexual orientation ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
23,    Gay or lesbian,3218332,159884,251502,165598,2191493,449856,174860,177310,97691,2319011,449460,107524,148195,137393,2381090,444133,20.84121372191776,16.247085455737935,14.17028843280529,1.0404080967251164,0.8895660483150719,0.9983364937824396
24,    Straight,43989978,2805024,3395004,2166293,27041586,8582072,2384246,2648353,1843319,28523022,8591035,1711071,1852325,1467126,30412249,8547207,23.62839813232672,19.424077153942136,14.193365411524963,1.1795463094197975,1.0635137977868518,0.9999623315437061
25,    Bisexual,2819764,280280,188584,173521,1518085,659297,86597,244607,214092,1611728,662744,71084,270621,100887,1721220,655954,29.73361777800818,25.28006230818444,20.454291273263365,1.4843231826098753,1.3841427245468392,1.4410620877186975
26,    Something else,1417691,127481,142582,67337,697527,382762,97739,212799,115247,605309,386598,65438,66018,50538,850340,385361,32.60127023206423,41.29452920347631,17.629440198386177,1.627478416830036,2.260972360897778,1.2420434205318263
27,    I don’t know,1810963,270956,230278,91029,615176,603523,95624,190833,82182,807169,635155,89382,136236,82938,867247,635155,49.05113297555158,31.351972430873065,26.24203951665578,2.4486671737181465,1.7165940499417467,1.8488251558879432
28,    Did not report,1093950,50802,65330,29766,381550,566507,31474,36405,26973,430417,568680,21880,25930,18194,458877,569071,27.661377627535106,18.057760770651285,12.575088734736958,1.3808754919101864,0.9887047700911838,0.8859502088451846
29,"Lesbian, Gay, Bisexual and Transgender ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
30,    Yes,6355237,459449,445936,361578,3862973,1225305,272462,438475,385573,4030373,1228357,187267,427546,238874,4285311,1216240,24.697461876687644,21.38747152264145,16.61193808830789,1.232914725980809,1.1710142460737833,1.17035754809467
31,    No,43390900,2761493,3270963,2146842,26789729,8421873,2357401,2585633,1804817,28212210,8430835,1673301,1835259,1452820,30042510,8387008,23.390121778338298,19.30159740835722,14.173795302533787,1.1676513856761297,1.0568077443488102,0.9985835625732763
32,    Other,3165500,406557,390530,145112,1301592,921709,193975,388805,128960,1496583,957177,159086,200273,144615,1705585,955939,41.991388681031346,32.22988666060173,22.808784188352345,2.096239756446216,1.7646619138196638,1.6069427056490824
33,    Did not report,1439038,66926,165849,40012,491127,675126,46701,97396,60150,557494,677299,46723,36248,20761,657620,677690,35.70921781566463,26.813252308205303,13.624781308941508,1.7826293534942743,1.4680884742845601,0.9599039896062563
34,Hispanic origin and Race ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
35,    Hispanic or Latino (may be of any race),12292121,1839098,1571781,776224,4793457,3311558,1396615,1214279,601423,5776379,3303424,914475,972582,649682,6452842,3302544,46.62405909295442,35.73729318053551,28.218669243280303,2.3275059327032546,1.9567006500146598,1.9880842542571784
