,Characteristic,Total,Reduced_Almost_Every_Month,Reduced_Sometimes,Reduced_One_Or_Two_Months,Reduced_Never,Reduced_Did_Not_Report,Unhealthy_Almost_Every_Month,Unhealthy_Sometimes,Unhealthy_One_Or_Two_Months,Unhealthy_Never,Unhealthy_Did_Not_Report,Unable_Almost_Every_Month,Unable_Sometimes,Unable_One_Or_Two_Months,Unable_Never,Unable_Did_Not_Report,Pct_Reduced,Pct_Unhealthy,Pct_Unable,Reduced_Likelihood_Ratio,Unhealthy_Likelihood_Ratio,Unable_Likelihood_Ratio
6,Total,7129594,454281,845345,649047,3601492,1579430,387665,555855,237324,4376394,1572356,366398,564194,354414,4278832,1565756,35.110187734993055,21.24875702642212,23.095676042329057,1.0,1.0,1.0
7,Age ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
8,    18 - 24,8112386,330952,484110,508990,3040198,3748133,186310,269163,393868,3514909,3748133,249078,324394,183642,3607139,3748133,30.33857111400279,19.46131445633422,17.348077666441426,0.8640959525193718,0.9158801351125964,0.7511396347370994
9,    25 - 39,29959199,2081103,2898201,2096140,15192861,7690895,944646,1724852,1154124,18470618,7664960,1126427,2257490,1645809,17265598,7663877,31.773609701035156,17.1507177257766,22.55955756099867,0.9049683795728483,0.8071398107875325,0.9767870626368413
10,    40 - 54,30381166,2432146,3967256,2093878,14094590,7793296,1340613,2131458,1035522,18066363,7807210,1541701,3364253,1836267,15801550,7837398,37.60106641307923,19.96811281106422,29.90724975523169,1.0709446129108449,0.9397308645505494,1.2949285268990864
11,    55 - 64,19964463,936926,1947360,1356108,11330157,4393914,708210,1085101,670752,13101103,4399297,599307,1080859,1224132,12673377,4386788,27.23342638721345,15.830624613961714,18.643976074735157,0.7756559603943922,0.7450141480876675,0.8072496358437415
12,    65 and above,23760793,1223155,1271578,1347876,15789063,4129120,973597,1134915,638797,16890575,4122913,614755,1050084,689898,17336784,4069272,19.57351775368304,13.989845136033013,11.958126545938223,0.5574882681181115,0.6583841642425065,0.5177647332782868
13,Sex at birth ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
14,    Male,55265202,3177499,4976570,3327242,30047353,13736528,2242547,2850138,1740749,34714211,13717556,1812575,3455946,2346564,33979996,13670120,27.646707429184953,16.447223026787125,18.307657140812942,0.7874269325432994,0.7740322413370134,0.7926876488594324
15,    Female,56912808,3826782,5591936,4075749,29399511,14018830,1910832,3495352,2152315,35329354,14024958,2318693,4621132,3233187,32704452,14035351,31.460050173010302,17.62387016369438,23.725782058390262,0.8960376518196514,0.8294071103443692,1.0272824235543643
16,Gender ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
